name,price,original_price,rating,discount,details
ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H - (32 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7228...,67990.0,114990.0,,40% off,"{'details': ['Intel Core 5 Processor', '32 GB DDR5 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Limited Warranty']}"
ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S6163...,67990.0,114990.0,,40% off,"{'details': ['Intel Core 5 Processor', '32 GB DDR5 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Limited Warranty']}"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,29990.0,43000.0,4.2,30% off,"{'details': ['Intel Core i3 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Domestic Warranty']}"
HP 15 with Backlit Keyboard & Office 2024 AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 H...,49990.0,60248.0,4.1,17% off,"{'details': ['AMD Ryzen 7 Octa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M', '1 Year Onsite Warranty']}"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Ho...",40990.0,50990.0,4.3,19% off,"{'details': ['Intel Core i3 Processor (13th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite warranty']}"
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,49790.0,78189.0,4.4,36% off,"{'details': ['Intel Core i5 Processor (13th Gen)', '8 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories']}"
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,44990.0,59990.0,4.1,25% off,"{'details': ['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Carry-in Warranty']}"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 Home) A324-53 Thin and Light L...,54990.0,64990.0,4.3,15% off,"{'details': ['Intel Core i5 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '1 TB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,18999.0,28690.0,3.9,33% off,"{'details': ['MediaTek Kompanio 520 Processor', '4 GB LPDDR4X RAM', 'Chrome Operating System', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 82XM00QD...,41550.0,59090.0,4.6,29% off,"{'details': ['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Office Home 2024', '1 Year Carry-in Warranty']}"
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,19990.0,29990.0,4.3,33% off,"{'details': ['MediaTek Helio G99 (MT8781) Processor', '8 GB LPDDR4X RAM', '64 bit Android Operating System', '35.81 cm (14.1 Inch) Display', '1 Year Onsite Warranty']}"
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,58730.0,82789.0,4.4,29% off,"{'details': ['Intel Core i5 Processor (13th Gen)', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories']}"
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,22990.0,34990.0,4.3,34% off,"{'details': ['MediaTek Helio G99 (MT8781) Processor', '8 GB LPDDR4X RAM', '64 bit Android Operating System', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']}"
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 14IAH8 Thin and...,56699.0,78590.0,4.2,27% off,"{'details': ['Intel Core i5 Processor (12th Gen)', '16 GB LPDDR5 RAM', 'Windows 11 Operating System', '1 TB SSD', '35.56 cm (14 Inch) Display', '1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection']}"
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,39990.0,55990.0,4.1,28% off,"{'details': ['Intel Core i3 Processor (12th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']}"
HP 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0668TU Thin and Light Lap...,46990.0,56001.0,4.1,16% off,"{'details': ['Intel Core i3 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']}"
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light...,29990.0,39990.0,3.9,25% off,"{'details': ['Intel Celeron Dual Core Processor', '8 GB LPDDR4X RAM', 'Windows 11 Operating System', '256 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']}"
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (16 GB/512 GB SSD/Windows 11 Home) AS15-42 Thin and Light ...,39990.0,42990.0,4.1,6% off,"{'details': ['AMD Ryzen 3 Quad Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']}"
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,33990.0,39990.0,3.9,15% off,"{'details': ['Intel Celeron Dual Core Processor', '8 GB LPDDR4X RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year International Travelers Warranty (ITW)']}"
Acer Aspire Intel Celeron Dual Core N4500 - (12 GB/256 GB SSD/Windows 11 Home) A324-45-V2 Thin and Lig...,29990.0,29999.0,3.9,,"{'details': ['Intel Celeron Dual Core Processor', '12 GB LPDDR4X RAM', 'Windows 11 Operating System', '256 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...",42990.0,52990.0,4.3,18% off,"{'details': ['AMD Ryzen 5 Quad Core Processor', '16 GB LPDDR5 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year', '1 Year Onsite Warranty']}"
Acer Aspire 3 Intel Pentium Quad Core 12th Gen N100 - (8 GB/512 GB SSD/Windows 11 Home) A324-31 Thin a...,34990.0,43999.0,4.1,20% off,"{'details': ['Intel Pentium Quad Core Processor (12th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
HP G10 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 245 G10 Thin and Light Laptop,38750.0,59980.0,4.1,35% off,"{'details': ['AMD Ryzen 5 Quad Core Processor', '8 GB DDR4 RAM', '32 bit Windows 11 Home Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 year Onsite Warranty']}"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,48990.0,66999.0,4.3,26% off,"{'details': ['Intel Core i5 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']}"
Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,54886.0,78590.0,4.3,30% off,"{'details': ['Intel Core i5 Processor (12th Gen)', '16 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Yr. Onsite + 1 Yr. Accidental Damage Protection']}"
Lenovo Chromebook Duet 11M889 MediaTek MediaTek Kompanio 838 - (8 GB/128 GB EMMC Storage/Chrome OS) Ch...,19990.0,37690.0,4.2,46% off,"{'details': ['MediaTek MediaTek Kompanio 838 Processor', '8 GB LPDDR4X RAM', 'Chrome Operating System', '70.64 cm (27.81 cm) Touchscreen Display', '1 Year Onsite Warranty']}"
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU T...,40980.0,50903.0,4.2,19% off,"{'details': ['Intel Core i3 Processor (13th Gen)', '8 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Carry-in Warranty']}"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,39990.0,67690.0,4.1,40% off,"{'details': ['AMD Ryzen 5 Quad Core Processor', '8 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']}"
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60343WS ...,38990.0,69990.0,4.3,44% off,"{'details': ['Intel Core i3 Processor (13th Gen)', '8 GB DDR5 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', 'Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity)', '1 Year Onsite Warranty']}"
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",55990.0,64990.0,4.3,13% off,"{'details': ['Intel Core 5 Processor', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year', '1 Year Onsite Warranty']}"
